matricule,prenom,nom,grade,specialite,certifications,statut_medical,genre,service,date_derniere_eval,date_naissance,date_affectation,date_derniere_formation
EMP18649,Théodore,Serrano,Ingénieur,JuRiDiQue,NIVeAu-1,APTE,Homme,Service E,2024-03-31,1995-03-19,2023-09-28,2015-09-30
EMP19862,Éric,Bonnel,Agent_Principal,Finance,Niveau 2,apte,F,Service B,1900-01-01,1984-07-24,2012-04-15,1997-07-31
EMP94516,Aurore,Lacroix,Ingénieur,Informatique,Niveau 1,apte,F,Service E,2023-02-28,1973-05-31,1988-06-27,1993-09-30
EMP08768,Louisa,Tardif,Agent Principal,QUaLité,Niveau 2,EN_ATTENTE,M,  Service B,2024-02-29,1993-12-10,2016-05-23,2009-08-31
EMP75186,Théophane,Rousseau,Technicien en chef,Achats,Aucune,APTE,F,Service A,2023-05-31,2006-03-12,2008-09-06,2018-05-31
EMP69761,Anaël,Legrand,Agent,Maintenance,Aucune,APTE,M,Direction,2024-03-31,1999-12-19,2010-01-04,1997-07-31
EMP34332,Mégane,Guillot,Ingénieur,Maintenance,Aucune,APTE,F,Service E,2024-05-31,1978-11-23,1993-02-23,1981-12-31
EMP28296,Frédéric,Boyer,Agent,Informatique,Habilitation spéciale,RESTRICTION,F,Service E,2024-02-29,1997-08-23,2016-03-15,2006-03-31
EMP95764,Coralie,Menard,Technicien en chef,Logistique,Aucune,apte,F,Direction,2024-05-31,1978-07-18,2012-10-02,2011-09-30
EMP11566,Laurence,Pichon,Technicien,RH,Aucune,APTE,M,Direction,2023-11-30,1977-12-03,2011-06-19,2013-07-31
EMP74426,René,Gautier,Technicien,RH,Niveau 2,apte,F,Service C,2023-12-31,1998-07-29,2005-08-18,2018-03-31
EMP88591,Rachel,VinceNt,Technicien en chef,Achats,Aucune,APTE,M,ServICe-D,2023-02-28,1964-11-08,1996-12-21,2014-09-30
EMP08328,Philippe,Dumont,Cadre A,Juridique,Niveau 1,EN_ATTENTE,M,Direction,2023-07-31,1998-03-04,1988-03-11,2022-04-30
EMP55504,Solal,Brunet,Agent,Finance,Aucune,apte,M,SerVice_B,2023-08-31,1979-02-05,2024-11-09,2009-07-31
EMP47389,Sibylle,André,Agent Principal,Achats,Niveau-1,APTE,F,Service B,2023-05-31,1971-03-13,1900-01-01,1900-01-01
EMP87546,Aimé,Chambon,TechnICien,RH,Aucune,APTE,M,Service B,2024-06-30,1972-06-07,2003-07-12,1989-04-30
EMP43196,Alexis,Roussel,Agent,   Finance,Aucune,apte,F,Service A,2024-02-29,2003-10-18,2002-12-30,2012-12-31
EMP03748,Yael,Berger,Ingénieur,RH,Niveau 2,APTE,F,Service A,1900-01-01,1991-01-16,2009-04-30,2005-08-31
EMP21921,Valentin,Rivière,Technicien,Informatique,Niveau 1,APTE,M,Service A,2024-11-30,1977-09-28,1995-06-02,2001-10-31
EMP67833,Emmanuel,Lefort,Agent Principal,Juridique,NiVeau-1,APTE,F,Service C,2024-12-31,2006-06-12,2024-03-31,1900-01-01
EMP94459,William,Dubois,Cadre B,JurIdIQue,Niveau 1,apte,M,Service E,2023-02-28,1985-12-06,1981-01-11,2024-05-31
EMP35500,Honorine,Leger,Agent Principal,RH,Formation sécurité,apte,M,Service C,2023-08-31,1961-02-04,1986-01-15,2015-01-31
EMP45465,Charles,Breton,Ingénieur,Maintenance,Aucune,EN_ATTENTE,F,Service A,2023-07-31,1963-07-23,2022-06-21,2023-04-30
EMP31014,Céleste,Carre,Ingénieur,Qualité,Habilitation spéciale,APTE,F,Service D,2023-05-31,2005-02-26,2000-11-13,1993-06-30
EMP29845,Orphée,Lacombe,Agent,Maintenance,Aucune,APTE,M,Service E,2023-04-30,2002-11-13,2003-07-31,2008-12-31
EMP02221,Ambroise,Delorme,Agent,Informatique,Formation sécurité,,F,Direction,2024-11-30,1965-06-12,2016-05-11,2013-07-31
EMP16682,Evariste,Delaunay,Technicien en chef,Juridique,Aucune,apte,M,Service D,2024-09-30,2003-07-31,2006-03-29,1989-06-30
EMP68500,Elsa,Rivière,TeChniCiEn,Maintenance,Formation sécurité,APTE,M,Service B,1900-01-01,1961-09-28,2002-02-20,2007-01-31
EMP68633,Edmond,Garnier,Technicien,Finance,Niveau 2,RESTRICTION,M,Service C,2023-09-30,1995-08-21,1994-02-19,1984-08-31
EMP57336,Benoît,Chambon,Ingénieur,Informatique,Niveau 1,APTE,M, SeRViCE_E,2023-04-30,1960-11-21,1985-04-19,1998-12-31
EMP05916,Théodule,LEbruN,Agent Principal,Qualité,Aucune,RESTRICTION,Homme,Service D,2024-09-30,2002-08-04,2015-12-19,2019-10-31
EMP53906,Léontine,Pelletier,Ingénieur,Juridique,Niveau 1,RESTRICTION,F,Service A,2023-01-31,1971-12-28,2010-05-13,1990-02-28
EMP52933,Odon,Bonnel,Ingénieur,Achats,Niveau 1,APTE,M, Service A,2024-07-31,1982-04-29,2014-10-07,1992-06-30
EMP03332,Yves,LoPez,Agent,Logistique,Niveau 1,APTE,M,Service E   ,2024-07-31,1969-08-07,1997-06-27,1983-10-31
EMP70596,Mathias,Breton,Agent,Informatique,Niveau 1,APTE,Homme,Service E,2024-11-30,1995-05-08,1999-03-03,2009-10-31
EMP23740,Rémi,Dupuy,Ingénieur en chef,RH,Aucune,APTE,F,Service A,2024-11-30,2000-06-17,1900-01-01,1983-06-30
EMP46735,Zélie,Fournier,Agent Principal,Achats,Niveau 1,apte,M,Service D,2024-11-30,1980-09-28,1987-10-27,2002-02-28
EMP24059,Léo,Rivière,Ingénieur,   Finance,AucuNe,APTE,M,Service A,2023-05-31,1963-02-12,2018-02-24,2019-01-31
EMP52204,Abel,Leroy,Agent Principal,Maintenance,Niveau 2,APTE,F,Service C,2024-11-30,1976-11-02,1997-08-07,1987-05-31
EMP21202,Maëlle,Lebreton,Agent,Qualité,NiVEau-2,APTE,F,Service B,2024-12-31,2007-10-05,2014-12-20,2006-04-30
EMP53756,Laurent,Lecomte,Technicien,Achats,Habilitation spéciale,APTE,Femme,Service A,2023-11-30,1962-04-15,1996-11-16,1980-10-31
EMP97330,Sophie,Voisin,Agent Principal,Informatique,AuCUNe,EN_ATTENTE,F,Service D,2023-04-30,1979-09-27,2008-05-15,2003-02-28
EMP22129,Dieudonné,Clement,TEChNicIEN,Logistique ,Niveau 1,APTE,M,Direction,2025-01-31,1999-10-04,2001-04-11,2003-10-31
EMP16056,Camille,Delaunay,Technicien en chef,Maintenance,Aucune,,Femme,Service B,1900-01-01,1988-10-14,1999-05-09,2012-06-30
EMP90273,Tanguy,Gros,Technicien en chef,Logistique,Niveau 1,APTE,F,Service D,1900-01-01,2006-03-06,1992-08-04,1900-01-01
EMP13335,Salomé,Rouxel,Ingénieur en chef,Finance,Formation sécurité,APTE,F,Service_E,2025-01-31,1998-08-05,1997-08-18,1996-11-30
EMP16289,Calixte,Fleury,Agent Principal,Juridique,Niveau 2,APTE,M,Service C,2023-04-30,1997-09-07,2009-06-03,1994-07-31
EMP68964,Émile,Julien,Ingénieur,Finance,Aucune,APTE,M,Service B,2023-11-30,1969-09-03,2021-02-09,1984-07-31
EMP36729,Emmanuel,Pellegrin,Ingénieur,RH,Niveau 2,apte,M,Service E,2024-04-30,1963-02-23,1990-01-03,2008-08-31
EMP97930,Erwan,Lacoste,Ingénieur,Logistique,Formation sécurité,RESTRICTION,F,Direction,2023-08-31,1979-11-08,1987-09-01,1989-09-30
EMP31932,Solène,Leger,Cadre B,Logistique,Habilitation spéciale,EN_ATTENTE,M,Service B,2024-09-30,2000-07-28,1994-03-13,1988-09-30
EMP03315,Marlène,Julien,Technicien en chef,Qualité,Niveau 1,APTE,F,Direction,2023-04-30,2007-04-08,2001-05-24,1995-11-30
EMP97595,Astrid,Adam,Ingénieur,Finance,Aucune,APTE,F,Direction,2024-04-30,1988-03-31,1981-02-18,2019-12-31
